card_id;disposition_id;type;issued_date
1014;9452;classic;02-11-1996
87;493;classic;02-11-1996
88;496;classic;04-11-1996
441;2785;classic;05-11-1996
562;3583;classic;07-11-1996
690;4479;classic;07-11-1996
374;2423;classic;08-11-1996
57;347;classic;09-11-1996
722;4684;classic;14-11-1996
300;1890;classic;20-11-1996
117;649;junior;23-11-1996
541;3427;junior;26-11-1996
294;1861;classic;04-12-1996
10;77;classic;07-12-1996
710;4588;junior;10-12-1996
408;2560;classic;10-12-1996
363;2324;junior;11-12-1996
697;4518;classic;11-12-1996
433;2724;classic;12-12-1996
642;4137;classic;13-12-1996
243;1478;classic;13-12-1996
162;967;junior;23-12-1996
594;3794;junior;27-12-1996
609;3893;classic;29-12-1996
1111;11288;classic;31-12-1996
786;5478;classic;31-12-1996
1118;11393;classic;02-01-1997
175;1040;classic;03-01-1997
565;3601;gold;06-01-1997
714;4638;classic;09-01-1997
137;786;junior;10-01-1997
22;138;classic;11-01-1997
325;2102;classic;12-01-1997
194;1182;classic;13-01-1997
668;4340;classic;14-01-1997
706;4559;gold;16-01-1997
850;6644;classic;16-01-1997
298;1885;classic;17-01-1997
105;590;classic;17-01-1997
1036;9735;classic;17-01-1997
292;1842;gold;18-01-1997
112;626;junior;19-01-1997
678;4405;gold;20-01-1997
1093;11011;classic;20-01-1997
681;4426;classic;22-01-1997
582;3733;classic;22-01-1997
729;4740;junior;22-01-1997
54;334;classic;24-01-1997
258;1607;classic;26-01-1997
534;3387;classic;29-01-1997
667;4333;classic;31-01-1997
195;1194;classic;03-02-1997
199;1213;classic;07-02-1997
490;3136;gold;07-02-1997
347;2184;classic;11-02-1997
210;1253;classic;16-02-1997
293;1850;classic;17-02-1997
189;1157;classic;19-02-1997
324;2074;classic;19-02-1997
578;3689;junior;21-02-1997
266;1690;classic;04-03-1997
568;3615;classic;05-03-1997
171;1027;classic;05-03-1997
679;4416;classic;06-03-1997
841;6468;classic;06-03-1997
513;3260;classic;15-03-1997
647;4171;junior;21-03-1997
665;4318;classic;24-03-1997
400;2529;classic;06-04-1997
617;3944;gold;09-04-1997
709;4587;junior;11-04-1997
387;2481;classic;18-04-1997
226;1378;classic;18-04-1997
350;2226;classic;20-04-1997
539;3415;classic;23-04-1997
583;3735;classic;24-04-1997
576;3671;classic;30-04-1997
232;1396;classic;01-05-1997
730;4749;classic;02-05-1997
616;3943;classic;05-05-1997
564;3590;classic;06-05-1997
82;474;classic;07-05-1997
1173;12442;classic;08-05-1997
426;2686;classic;09-05-1997
791;5521;classic;12-05-1997
572;3636;junior;16-05-1997
375;2425;junior;17-05-1997
69;438;classic;17-05-1997
607;3885;classic;17-05-1997
155;900;junior;17-05-1997
275;1762;classic;20-05-1997
847;6610;classic;20-05-1997
399;2527;classic;22-05-1997
305;1914;classic;23-05-1997
430;2713;classic;26-05-1997
349;2214;classic;26-05-1997
256;1583;classic;26-05-1997
50;309;classic;28-05-1997
939;8217;junior;29-05-1997
110;608;classic;31-05-1997
184;1089;gold;03-06-1997
90;503;classic;04-06-1997
597;3813;junior;06-06-1997
471;3037;classic;09-06-1997
494;3173;classic;10-06-1997
211;1271;classic;10-06-1997
353;2259;classic;11-06-1997
213;1289;gold;11-06-1997
1009;9409;gold;14-06-1997
297;1883;classic;15-06-1997
801;5684;classic;15-06-1997
748;4923;classic;16-06-1997
133;742;classic;16-06-1997
316;2013;classic;17-06-1997
145;819;classic;17-06-1997
270;1736;junior;17-06-1997
1178;12542;classic;19-06-1997
222;1345;classic;19-06-1997
241;1461;classic;20-06-1997
280;1793;classic;22-06-1997
675;4376;classic;23-06-1997
108;597;classic;25-06-1997
1196;12805;classic;27-06-1997
287;1819;junior;28-06-1997
443;2808;classic;29-06-1997
1138;11825;classic;29-06-1997
733;4764;junior;30-06-1997
311;1954;classic;01-07-1997
120;662;classic;03-07-1997
122;667;junior;03-07-1997
476;3079;classic;06-07-1997
781;5366;classic;07-07-1997
588;3765;classic;08-07-1997
403;2538;junior;12-07-1997
139;797;classic;14-07-1997
553;3522;classic;14-07-1997
625;3987;classic;17-07-1997
413;2592;junior;20-07-1997
591;3779;classic;23-07-1997
694;4504;classic;24-07-1997
512;3259;classic;24-07-1997
1095;11023;gold;28-07-1997
1059;10235;classic;29-07-1997
75;457;classic;29-07-1997
383;2469;classic;30-07-1997
115;638;classic;30-07-1997
884;7286;gold;31-07-1997
454;2921;classic;01-08-1997
688;4472;classic;01-08-1997
936;8030;classic;02-08-1997
663;4295;classic;06-08-1997
637;4094;junior;06-08-1997
511;3257;junior;06-08-1997
1220;13160;classic;08-08-1997
628;4007;classic;11-08-1997
718;4660;classic;12-08-1997
238;1452;gold;17-08-1997
546;3465;gold;19-08-1997
660;4265;junior;19-08-1997
491;3151;classic;21-08-1997
140;798;classic;22-08-1997
502;3201;classic;22-08-1997
598;3821;classic;23-08-1997
355;2267;classic;28-08-1997
43;267;classic;29-08-1997
610;3894;classic;29-08-1997
182;1067;gold;31-08-1997
41;256;classic;31-08-1997
91;504;junior;01-09-1997
252;1529;classic;02-09-1997
495;3181;classic;02-09-1997
259;1610;classic;05-09-1997
187;1140;classic;07-09-1997
185;1098;classic;07-09-1997
1025;9625;classic;08-09-1997
19;130;classic;09-09-1997
431;2715;gold;12-09-1997
356;2268;classic;13-09-1997
767;5204;classic;14-09-1997
537;3405;classic;15-09-1997
703;4546;classic;17-09-1997
671;4345;classic;17-09-1997
896;7567;classic;18-09-1997
343;2164;classic;21-09-1997
279;1791;classic;21-09-1997
622;3981;junior;22-09-1997
612;3906;classic;22-09-1997
206;1243;classic;22-09-1997
190;1165;classic;23-09-1997
1203;12893;classic;26-09-1997
234;1424;classic;29-09-1997
30;202;classic;01-10-1997
327;2117;classic;03-10-1997
49;305;classic;03-10-1997
1115;11375;junior;03-10-1997
698;4522;gold;07-10-1997
874;7127;gold;07-10-1997
247;1500;junior;08-10-1997
656;4235;classic;08-10-1997
436;2759;classic;09-10-1997
124;688;classic;10-10-1997
633;4078;classic;12-10-1997
428;2698;classic;13-10-1997
638;4100;gold;14-10-1997
153;886;gold;19-10-1997
596;3811;classic;19-10-1997
664;4316;classic;22-10-1997
251;1525;classic;23-10-1997
552;3519;classic;25-10-1997
9;76;classic;25-10-1997
11;79;gold;25-10-1997
650;4194;classic;26-10-1997
59;365;classic;27-10-1997
1016;9525;classic;28-10-1997
359;2299;classic;29-10-1997
438;2768;classic;30-10-1997
94;513;classic;06-11-1997
1056;10220;classic;06-11-1997
273;1758;classic;07-11-1997
947;8366;classic;08-11-1997
93;510;classic;09-11-1997
762;5132;classic;10-11-1997
254;1578;classic;11-11-1997
611;3896;classic;13-11-1997
648;4188;classic;18-11-1997
373;2401;classic;18-11-1997
579;3699;classic;18-11-1997
555;3544;classic;19-11-1997
329;2122;gold;19-11-1997
707;4560;classic;21-11-1997
51;321;classic;21-11-1997
382;2445;gold;22-11-1997
472;3056;classic;24-11-1997
237;1445;classic;25-11-1997
1234;13386;classic;28-11-1997
86;490;classic;28-11-1997
540;3425;classic;29-11-1997
493;3167;classic;30-11-1997
532;3382;classic;30-11-1997
590;3769;classic;02-12-1997
942;8295;classic;02-12-1997
33;221;junior;03-12-1997
739;4821;classic;03-12-1997
45;272;classic;05-12-1997
25;158;classic;06-12-1997
200;1220;gold;09-12-1997
268;1707;gold;11-12-1997
507;3245;classic;11-12-1997
569;3616;classic;12-12-1997
282;1799;gold;13-12-1997
536;3404;classic;13-12-1997
1022;9606;classic;13-12-1997
1105;11237;classic;13-12-1997
326;2104;classic;14-12-1997
380;2434;classic;15-12-1997
723;4699;classic;15-12-1997
81;473;classic;17-12-1997
521;3310;classic;17-12-1997
608;3890;classic;17-12-1997
589;3766;junior;20-12-1997
281;1795;classic;22-12-1997
891;7434;classic;23-12-1997
774;5249;classic;25-12-1997
566;3606;classic;25-12-1997
575;3667;gold;25-12-1997
154;887;classic;28-12-1997
130;722;classic;29-12-1997
434;2739;classic;30-12-1997
83;483;classic;05-01-1998
593;3787;junior;06-01-1998
481;3102;junior;06-01-1998
304;1913;classic;06-01-1998
149;858;classic;07-01-1998
659;4258;classic;08-01-1998
517;3291;classic;09-01-1998
368;2361;classic;10-01-1998
482;3104;junior;13-01-1998
689;4473;classic;15-01-1998
557;3567;classic;17-01-1998
897;7576;classic;18-01-1998
803;5727;classic;19-01-1998
401;2532;classic;19-01-1998
760;5126;classic;19-01-1998
274;1759;classic;21-01-1998
28;174;junior;22-01-1998
904;7672;classic;22-01-1998
474;3066;junior;24-01-1998
214;1292;classic;24-01-1998
55;335;classic;25-01-1998
340;2155;classic;25-01-1998
724;4701;gold;27-01-1998
67;429;junior;28-01-1998
236;1440;junior;29-01-1998
68;434;classic;31-01-1998
348;2203;classic;02-02-1998
65;414;classic;02-02-1998
1239;13442;junior;02-02-1998
165;996;junior;04-02-1998
249;1517;classic;06-02-1998
246;1492;classic;08-02-1998
720;4674;junior;09-02-1998
518;3292;gold;10-02-1998
459;2958;gold;11-02-1998
655;4231;classic;13-02-1998
624;3985;junior;13-02-1998
398;2522;classic;14-02-1998
796;5579;classic;20-02-1998
100;562;gold;21-02-1998
574;3640;junior;23-02-1998
360;2308;classic;24-02-1998
391;2493;classic;24-02-1998
283;1800;classic;25-02-1998
726;4721;classic;26-02-1998
132;731;junior;26-02-1998
463;2982;classic;26-02-1998
21;132;classic;26-02-1998
529;3357;classic;27-02-1998
946;8359;junior;28-02-1998
419;2626;classic;28-02-1998
248;1512;classic;01-03-1998
215;1296;classic;02-03-1998
225;1359;classic;03-03-1998
643;4157;classic;04-03-1998
844;6567;junior;04-03-1998
672;4349;classic;07-03-1998
276;1765;classic;07-03-1998
1230;13312;classic;08-03-1998
599;3824;gold;08-03-1998
72;447;classic;09-03-1998
1199;12826;classic;09-03-1998
48;295;classic;10-03-1998
58;358;classic;11-03-1998
334;2133;classic;13-03-1998
2;19;classic;13-03-1998
228;1382;junior;15-03-1998
244;1480;classic;16-03-1998
1189;12683;classic;17-03-1998
198;1211;junior;18-03-1998
34;225;classic;20-03-1998
535;3395;classic;22-03-1998
269;1718;gold;22-03-1998
515;3268;classic;23-03-1998
290;1833;classic;24-03-1998
315;2005;junior;24-03-1998
784;5461;classic;24-03-1998
63;378;junior;27-03-1998
417;2619;classic;30-03-1998
619;3958;classic;01-04-1998
191;1168;junior;02-04-1998
965;8636;classic;02-04-1998
444;2815;gold;03-04-1998
370;2374;classic;03-04-1998
156;906;junior;07-04-1998
492;3166;classic;09-04-1998
52;326;gold;10-04-1998
71;441;classic;11-04-1998
775;5253;gold;11-04-1998
330;2124;classic;11-04-1998
510;3256;classic;13-04-1998
170;1020;classic;16-04-1998
338;2146;classic;16-04-1998
755;5002;classic;16-04-1998
451;2888;junior;16-04-1998
263;1668;gold;17-04-1998
602;3846;junior;18-04-1998
498;3186;classic;18-04-1998
933;7959;junior;21-04-1998
89;497;classic;22-04-1998
761;5128;gold;23-04-1998
176;1049;classic;25-04-1998
1102;11183;classic;25-04-1998
109;605;classic;26-04-1998
421;2644;classic;27-04-1998
918;7796;classic;27-04-1998
680;4417;classic;29-04-1998
824;6196;classic;29-04-1998
448;2864;classic;29-04-1998
1194;12781;junior;30-04-1998
331;2125;gold;01-05-1998
734;4765;classic;01-05-1998
235;1438;classic;02-05-1998
284;1807;classic;07-05-1998
412;2585;classic;09-05-1998
64;402;classic;10-05-1998
186;1133;gold;12-05-1998
458;2951;gold;14-05-1998
465;2995;classic;15-05-1998
457;2948;junior;16-05-1998
456;2929;classic;16-05-1998
645;4166;classic;17-05-1998
906;7683;gold;18-05-1998
756;5012;classic;18-05-1998
218;1322;classic;18-05-1998
717;4654;classic;19-05-1998
8;60;junior;20-05-1998
700;4533;junior;22-05-1998
757;5013;junior;22-05-1998
126;707;classic;23-05-1998
358;2287;junior;23-05-1998
639;4112;classic;23-05-1998
212;1280;classic;24-05-1998
415;2609;classic;25-05-1998
161;963;classic;25-05-1998
207;1244;classic;25-05-1998
1216;13097;classic;26-05-1998
649;4190;classic;29-05-1998
475;3075;gold;31-05-1998
586;3756;classic;31-05-1998
446;2841;classic;04-06-1998
823;6178;classic;05-06-1998
644;4165;classic;05-06-1998
111;615;classic;05-06-1998
469;3026;classic;07-06-1998
17;127;classic;07-06-1998
558;3568;classic;07-06-1998
192;1169;classic;08-06-1998
631;4061;junior;09-06-1998
317;2015;classic;10-06-1998
716;4651;junior;11-06-1998
7;56;classic;11-06-1998
863;6906;classic;12-06-1998
123;679;classic;12-06-1998
770;5232;classic;15-06-1998
143;816;classic;15-06-1998
785;5468;classic;16-06-1998
646;4167;classic;17-06-1998
160;954;classic;17-06-1998
669;4341;classic;19-06-1998
101;566;classic;19-06-1998
332;2126;classic;19-06-1998
362;2320;gold;21-06-1998
173;1031;classic;21-06-1998
16;116;classic;23-06-1998
365;2332;classic;23-06-1998
701;4534;classic;24-06-1998
80;471;classic;25-06-1998
831;6275;classic;29-06-1998
354;2265;gold;30-06-1998
250;1522;classic;30-06-1998
142;810;classic;01-07-1998
991;9149;junior;01-07-1998
1192;12736;classic;02-07-1998
738;4808;junior;02-07-1998
627;3994;classic;05-07-1998
696;4516;classic;05-07-1998
260;1616;classic;05-07-1998
768;5223;classic;06-07-1998
233;1418;classic;07-07-1998
450;2880;classic;07-07-1998
440;2782;classic;07-07-1998
301;1899;classic;07-07-1998
485;3124;classic;08-07-1998
567;3611;classic;08-07-1998
66;425;classic;08-07-1998
1002;9261;classic;09-07-1998
453;2911;gold;12-07-1998
277;1777;gold;12-07-1998
571;3627;junior;13-07-1998
687;4471;classic;14-07-1998
640;4115;classic;14-07-1998
39;254;classic;14-07-1998
435;2740;classic;15-07-1998
411;2572;classic;15-07-1998
548;3501;classic;16-07-1998
1167;12335;classic;18-07-1998
727;4723;classic;19-07-1998
603;3850;classic;20-07-1998
496;3183;junior;21-07-1998
73;451;junior;21-07-1998
146;822;classic;23-07-1998
439;2779;classic;23-07-1998
613;3913;classic;23-07-1998
323;2065;junior;24-07-1998
623;3984;classic;25-07-1998
530;3360;classic;25-07-1998
396;2508;classic;26-07-1998
1076;10604;gold;27-07-1998
344;2168;classic;27-07-1998
525;3337;classic;27-07-1998
42;264;junior;28-07-1998
740;4823;junior;28-07-1998
780;5333;classic;29-07-1998
509;3253;gold;30-07-1998
308;1938;classic;30-07-1998
618;3947;classic;31-07-1998
209;1251;classic;31-07-1998
1155;12088;classic;01-08-1998
95;519;junior;01-08-1998
833;6299;classic;01-08-1998
319;2038;junior;02-08-1998
795;5563;classic;02-08-1998
508;3249;classic;03-08-1998
78;468;classic;04-08-1998
683;4437;classic;05-08-1998
32;219;classic;06-08-1998
550;3515;classic;08-08-1998
1217;13098;junior;09-08-1998
1003;9274;classic;09-08-1998
179;1059;classic;10-08-1998
169;1019;classic;10-08-1998
221;1339;classic;10-08-1998
684;4457;classic;11-08-1998
77;466;classic;13-08-1998
581;3721;classic;13-08-1998
47;280;classic;13-08-1998
386;2478;classic;14-08-1998
346;2177;classic;14-08-1998
406;2548;classic;16-08-1998
951;8392;classic;16-08-1998
519;3297;classic;16-08-1998
321;2058;gold;16-08-1998
128;716;classic;19-08-1998
711;4592;classic;19-08-1998
538;3414;gold;20-08-1998
29;192;classic;20-08-1998
834;6301;classic;21-08-1998
461;2977;gold;21-08-1998
239;1453;gold;24-08-1998
395;2502;classic;24-08-1998
531;3378;gold;24-08-1998
1150;12020;classic;25-08-1998
96;528;classic;26-08-1998
367;2343;classic;27-08-1998
1023;9621;classic;30-08-1998
702;4543;classic;30-08-1998
405;2542;classic;31-08-1998
480;3092;classic;01-09-1998
1098;11063;classic;01-09-1998
79;469;classic;02-09-1998
402;2536;classic;03-09-1998
551;3517;classic;03-09-1998
425;2662;junior;04-09-1998
1195;12787;gold;04-09-1998
1154;12070;classic;05-09-1998
307;1930;gold;05-09-1998
752;4944;junior;06-09-1998
134;769;classic;07-09-1998
285;1811;gold;10-09-1998
544;3448;gold;10-09-1998
526;3339;classic;10-09-1998
352;2235;classic;11-09-1998
328;2121;junior;12-09-1998
26;161;classic;14-09-1998
141;808;classic;15-09-1998
151;861;classic;16-09-1998
203;1231;classic;16-09-1998
653;4212;classic;16-09-1998
880;7186;classic;17-09-1998
620;3959;classic;17-09-1998
630;4019;classic;18-09-1998
1188;12678;classic;19-09-1998
389;2489;gold;19-09-1998
1024;9622;classic;20-09-1998
193;1179;gold;21-09-1998
758;5016;classic;21-09-1998
634;4081;junior;22-09-1998
361;2312;classic;23-09-1998
242;1473;classic;24-09-1998
923;7855;classic;24-09-1998
1007;9333;gold;25-09-1998
520;3308;classic;25-09-1998
629;4018;junior;25-09-1998
335;2137;classic;25-09-1998
414;2606;classic;26-09-1998
36;236;classic;28-09-1998
561;3581;gold;28-09-1998
291;1836;classic;29-09-1998
231;1390;junior;29-09-1998
782;5376;classic;29-09-1998
180;1062;classic;29-09-1998
765;5175;classic;29-09-1998
357;2277;junior;29-09-1998
554;3535;classic;29-09-1998
956;8502;classic;30-09-1998
676;4380;classic;30-09-1998
255;1579;gold;01-10-1998
1193;12743;classic;01-10-1998
416;2616;classic;01-10-1998
585;3753;gold;01-10-1998
744;4863;classic;02-10-1998
23;146;classic;03-10-1998
394;2501;classic;05-10-1998
460;2971;classic;05-10-1998
35;231;classic;07-10-1998
447;2845;classic;07-10-1998
264;1669;classic;07-10-1998
245;1483;classic;08-10-1998
505;3233;junior;09-10-1998
336;2138;junior;09-10-1998
366;2335;classic;09-10-1998
533;3384;classic;09-10-1998
288;1826;classic;10-10-1998
754;4976;junior;10-10-1998
116;646;classic;11-10-1998
1035;9732;classic;11-10-1998
682;4429;classic;11-10-1998
792;5526;classic;11-10-1998
385;2476;classic;12-10-1998
53;333;classic;13-10-1998
751;4941;junior;15-10-1998
614;3938;junior;16-10-1998
957;8506;junior;16-10-1998
1;9;gold;16-10-1998
743;4862;gold;18-10-1998
61;374;classic;18-10-1998
60;370;classic;18-10-1998
74;453;classic;18-10-1998
749;4929;classic;19-10-1998
339;2154;classic;19-10-1998
769;5224;classic;20-10-1998
488;3134;gold;20-10-1998
31;208;classic;21-10-1998
542;3439;classic;22-10-1998
750;4937;classic;24-10-1998
855;6764;classic;24-10-1998
299;1886;classic;25-10-1998
158;928;gold;25-10-1998
857;6789;junior;25-10-1998
230;1388;gold;25-10-1998
295;1864;classic;26-10-1998
584;3751;classic;28-10-1998
449;2865;classic;28-10-1998
351;2232;classic;01-11-1998
138;791;classic;02-11-1998
524;3333;classic;02-11-1998
693;4495;junior;03-11-1998
604;3858;classic;04-11-1998
746;4901;classic;04-11-1998
333;2128;classic;04-11-1998
129;719;classic;05-11-1998
429;2709;classic;05-11-1998
424;2659;classic;06-11-1998
345;2175;classic;07-11-1998
1165;12291;classic;08-11-1998
1070;10490;junior;08-11-1998
217;1316;classic;09-11-1998
636;4091;junior;09-11-1998
820;6039;classic;10-11-1998
46;273;classic;10-11-1998
742;4833;classic;10-11-1998
404;2540;junior;12-11-1998
102;575;classic;12-11-1998
455;2924;classic;13-11-1998
253;1536;gold;14-11-1998
570;3620;classic;14-11-1998
27;167;junior;15-11-1998
580;3713;classic;16-11-1998
409;2562;classic;16-11-1998
205;1242;classic;16-11-1998
773;5245;classic;18-11-1998
487;3130;classic;18-11-1998
177;1056;classic;19-11-1998
632;4069;classic;19-11-1998
445;2820;gold;19-11-1998
1001;9247;classic;20-11-1998
257;1589;classic;20-11-1998
178;1057;classic;21-11-1998
704;4553;gold;21-11-1998
56;339;classic;22-11-1998
148;834;classic;22-11-1998
392;2496;classic;22-11-1998
523;3319;junior;23-11-1998
1175;12494;classic;24-11-1998
466;2998;classic;25-11-1998
500;3192;classic;26-11-1998
4;42;classic;26-11-1998
388;2488;junior;26-11-1998
164;992;classic;29-11-1998
489;3135;classic;29-11-1998
626;3992;classic;30-11-1998
1169;12354;classic;30-11-1998
1137;11771;gold;01-12-1998
677;4382;junior;01-12-1998
20;131;classic;02-12-1998
657;4246;junior;02-12-1998
219;1329;classic;04-12-1998
819;5978;gold;06-12-1998
1177;12535;gold;06-12-1998
341;2156;gold;06-12-1998
692;4493;classic;08-12-1998
715;4639;junior;08-12-1998
131;725;classic;08-12-1998
201;1223;classic;08-12-1998
605;3874;classic;11-12-1998
306;1929;classic;11-12-1998
378;2430;classic;11-12-1998
549;3504;classic;12-12-1998
371;2388;gold;13-12-1998
147;826;junior;13-12-1998
527;3348;junior;14-12-1998
172;1030;classic;14-12-1998
886;7325;classic;15-12-1998
479;3085;classic;16-12-1998
691;4492;classic;16-12-1998
560;3577;classic;17-12-1998
452;2910;classic;19-12-1998
506;3236;gold;19-12-1998
735;4772;classic;19-12-1998
654;4230;classic;21-12-1998
196;1197;classic;22-12-1998
473;3063;classic;22-12-1998
829;6255;classic;22-12-1998
310;1947;junior;23-12-1998
76;464;classic;23-12-1998
573;3638;classic;23-12-1998
240;1459;classic;23-12-1998
728;4725;classic;24-12-1998
924;7862;classic;24-12-1998
486;3128;gold;25-12-1998
1081;10696;classic;25-12-1998
753;4974;classic;25-12-1998
442;2796;classic;26-12-1998
125;694;gold;26-12-1998
674;4360;classic;28-12-1998
322;2063;classic;28-12-1998
685;4467;classic;29-12-1998
635;4083;classic;29-12-1998
