loan_id;account_id;date_loan;amount_of_loan;duration_of_loan_in_month;payments_per_month;status
5450;2345;11/12/1994;199680;60;3328.0;C
7142;10451;19/12/1994;482940;60;8049.0;D
6306;6425;20/12/1994;36684;12;3057.0;A
6272;6226;20/12/1994;398640;60;6644.0;C
5044;344;21/12/1994;100980;60;1683.0;C
5576;2962;21/12/1994;31248;12;2604.0;A
7192;10738;21/12/1994;115992;36;3222.0;A
5739;3747;02/01/1995;76380;12;6365.0;A
6526;7523;03/01/1995;288468;36;8013.0;A
5624;3166;03/01/1995;177744;48;3703.0;D
6244;6118;08/01/1995;270648;36;7518.0;B
5131;816;08/01/1995;48624;24;2026.0;A
6960;9640;11/01/1995;76416;24;3184.0;A
6358;6715;14/01/1995;137880;60;2298.0;D
5418;2245;16/01/1995;347952;48;7249.0;C
6598;7857;18/01/1995;68112;12;5676.0;A
5464;2419;30/01/1995;95808;12;7984.0;A
6591;7819;02/02/1995;20832;48;434.0;C
5724;3678;05/02/1995;316140;60;5269.0;D
6315;6472;06/02/1995;43164;12;3597.0;A
5876;4413;08/02/1995;221280;48;4610.0;C
6986;9750;11/02/1995;151728;48;3161.0;D
6294;6353;12/02/1995;79920;60;1332.0;C
5132;817;17/02/1995;538500;60;8975.0;C
5877;4414;23/02/1995;97224;24;4051.0;A
6227;6030;04/03/1995;28248;24;1177.0;A
7241;11021;04/03/1995;168984;24;7041.0;B
6737;8564;11/03/1995;76680;24;3195.0;A
7004;9869;15/03/1995;331560;60;5526.0;C
6169;5700;16/03/1995;103680;60;1728.0;D
5208;1247;16/03/1995;99696;48;2077.0;D
6694;8316;19/03/1995;134784;24;5616.0;A
5599;3064;21/03/1995;15420;12;1285.0;A
6546;7607;27/03/1995;31728;24;1322.0;A
5414;2228;29/03/1995;185952;48;3874.0;C
5453;2361;01/04/1995;156672;36;4352.0;A
5740;3752;02/04/1995;18564;12;1547.0;A
5804;4079;05/04/1995;158976;48;3312.0;C
6745;8625;10/04/1995;47304;24;1971.0;A
6950;9591;11/04/1995;104712;24;4363.0;A
6996;9828;13/04/1995;126600;24;5275.0;A
5352;1993;15/04/1995;68400;12;5700.0;B
6151;5628;25/04/1995;225420;60;3757.0;C
5310;1762;28/04/1995;248148;36;6893.0;A
5045;347;01/05/1995;187224;24;7801.0;B
6929;9472;08/05/1995;36396;12;3033.0;A
5151;960;24/05/1995;189060;60;3151.0;C
5212;1256;29/05/1995;71064;36;1974.0;A
5138;854;30/05/1995;87216;48;1817.0;C
5713;3629;30/05/1995;158760;60;2646.0;C
6704;8377;01/06/1995;417060;60;6951.0;C
6474;7190;06/06/1995;63360;60;1056.0;C
6676;8159;13/06/1995;29784;24;1241.0;A
6965;9656;13/06/1995;139536;24;5814.0;A
6725;8489;23/06/1995;265320;36;7370.0;A
7166;10630;24/06/1995;198240;24;8260.0;A
7138;10440;03/07/1995;60000;60;1000.0;C
5970;4774;09/07/1995;465072;48;9689.0;C
6157;5650;10/07/1995;98592;24;4108.0;A
6153;5632;25/07/1995;285600;60;4760.0;C
5693;3489;01/08/1995;44088;24;1837.0;A
5922;4580;05/08/1995;20220;12;1685.0;A
5959;4727;11/08/1995;107640;24;4485.0;A
5980;4825;18/08/1995;21396;12;1783.0;A
6764;8776;26/08/1995;33984;48;708.0;C
5237;1375;29/08/1995;45336;24;1889.0;A
6726;8492;03/09/1995;85860;60;1431.0;C
6933;9493;09/09/1995;188688;48;3931.0;C
5145;915;16/09/1995;309552;48;6449.0;C
7008;9897;22/09/1995;36168;12;3014.0;A
7227;10942;02/10/1995;314520;60;5242.0;C
6600;7861;08/10/1995;21852;36;607.0;A
6712;8405;14/10/1995;266220;60;4437.0;C
7057;10093;20/10/1995;231696;36;6436.0;A
7176;10663;28/10/1995;260028;36;7223.0;A
7304;11349;29/10/1995;419880;60;6998.0;C
6362;6738;31/10/1995;37908;12;3159.0;A
5880;4423;31/10/1995;73836;36;2051.0;A
6535;7546;02/11/1995;41952;12;3496.0;A
5449;2343;04/11/1995;99336;24;4139.0;A
6342;6609;12/11/1995;60156;36;1671.0;B
5409;2218;18/11/1995;182040;60;3034.0;C
6955;9627;22/11/1995;244368;48;5091.0;C
6985;9731;22/11/1995;113796;36;3161.0;A
5125;789;23/11/1995;73056;48;1522.0;C
5805;4081;28/11/1995;137904;24;5746.0;B
6185;5774;28/11/1995;31176;24;1299.0;A
7243;11042;04/12/1995;217152;36;6032.0;A
6403;6924;05/12/1995;194880;48;4060.0;C
6578;7765;11/12/1995;27984;12;2332.0;A
5413;2227;12/12/1995;92976;24;3874.0;A
6949;9583;12/12/1995;104712;24;4363.0;A
6545;7606;12/12/1995;191880;60;3198.0;C
6178;5742;16/12/1995;232560;48;4845.0;C
5160;1011;18/12/1995;204000;60;3400.0;C
6785;8899;25/12/1995;125340;60;2089.0;C
6540;7562;31/12/1995;309600;48;6450.0;C
6589;7815;01/01/1996;189696;24;7904.0;A
5900;4503;01/01/1996;135360;48;2820.0;C
5999;4907;03/01/1996;98832;48;2059.0;C
6043;5126;11/01/1996;20352;48;424.0;C
5482;2496;12/01/1996;165120;60;2752.0;C
7263;11138;19/01/1996;89880;24;3745.0;A
6013;4995;03/02/1996;128988;36;3583.0;D
5750;3804;08/02/1996;63252;12;5271.0;A
6027;5066;10/02/1996;61656;24;2569.0;B
6303;6400;12/02/1996;72408;24;3017.0;B
7213;10884;13/02/1996;113544;36;3154.0;C
6659;8092;20/02/1996;56100;60;935.0;C
6175;5735;21/02/1996;290700;60;4845.0;D
5610;3112;24/02/1996;123216;48;2567.0;C
5563;2912;29/02/1996;380160;60;6336.0;C
5989;4852;04/03/1996;213300;36;5925.0;C
6698;8327;10/03/1996;247728;48;5161.0;C
5312;1772;13/03/1996;202788;36;5633.0;C
7189;10728;21/03/1996;154656;48;3222.0;C
6816;9017;26/03/1996;100224;48;2088.0;D
6137;5574;10/04/1996;44628;12;3719.0;A
5128;808;11/04/1996;215616;48;4492.0;D
5470;2456;15/04/1996;200976;48;4187.0;C
5593;3037;18/04/1996;277884;36;7719.0;D
5350;1967;21/04/1996;249312;48;5194.0;C
6063;5213;25/04/1996;320976;48;6687.0;D
6501;7418;29/04/1996;30276;12;2523.0;B
5452;2352;29/04/1996;49440;60;824.0;C
4961;19;29/04/1996;30276;12;2523.0;B
4973;67;02/05/1996;165960;24;6915.0;A
6190;5794;06/05/1996;123600;60;2060.0;C
6715;8411;06/05/1996;220620;60;3677.0;C
5892;4462;14/05/1996;66480;24;2770.0;B
6550;7614;18/05/1996;320592;48;6679.0;C
5706;3608;24/05/1996;161496;36;4486.0;C
5148;940;29/05/1996;284280;60;4738.0;C
6734;8547;30/05/1996;173016;36;4806.0;C
6109;5422;03/06/1996;368880;60;6148.0;C
6961;9645;06/06/1996;176148;36;4893.0;C
6810;9006;08/06/1996;186384;48;3883.0;C
5494;2572;13/06/1996;360000;48;7500.0;C
5311;1766;15/06/1996;30060;60;501.0;C
5445;2322;29/06/1996;46320;24;1930.0;A
5301;1698;06/07/1996;141948;36;3943.0;C
7034;10001;11/07/1996;19044;36;529.0;C
6751;8680;14/07/1996;85716;36;2381.0;C
6667;8127;15/07/1996;155880;24;6495.0;A
6130;5541;18/07/1996;32640;48;680.0;C
5429;2268;18/07/1996;20196;36;561.0;C
5725;3679;23/07/1996;444864;48;9268.0;C
6019;5033;25/07/1996;11400;12;950.0;A
6421;6985;25/07/1996;96768;36;2688.0;C
6992;9790;27/07/1996;133968;48;2791.0;C
5136;846;28/07/1996;187104;24;7796.0;A
5337;1886;31/07/1996;162468;36;4513.0;C
5495;2580;02/08/1996;89340;60;1489.0;C
7013;9928;02/08/1996;89340;60;1489.0;C
6012;4994;03/08/1996;258444;36;7179.0;C
6471;7184;04/08/1996;155640;24;6485.0;A
6296;6358;06/08/1996;270384;48;5633.0;C
7305;11359;06/08/1996;54024;12;4502.0;A
6144;5593;09/08/1996;44376;12;3698.0;A
6283;6289;11/08/1996;85632;48;1784.0;C
7246;11054;20/08/1996;148920;60;2482.0;C
5088;544;22/08/1996;91152;24;3798.0;A
5988;4851;22/08/1996;141648;24;5902.0;A
5282;1583;24/08/1996;388512;48;8094.0;D
5938;4650;25/08/1996;402000;60;6700.0;C
5606;3084;28/08/1996;253512;36;7042.0;D
5385;2143;09/09/1996;71460;36;1985.0;C
6865;9199;11/09/1996;29448;12;2454.0;B
5586;2994;14/09/1996;48744;36;1354.0;C
6302;6397;16/09/1996;181020;60;3017.0;C
7194;10762;17/09/1996;68832;36;1912.0;C
6461;7136;19/09/1996;74124;36;2059.0;C
6732;8533;19/09/1996;174048;48;3626.0;C
6613;7926;22/09/1996;84120;24;3505.0;A
7036;10019;25/09/1996;194940;36;5415.0;C
5897;4476;25/09/1996;15192;24;633.0;A
6995;9814;26/09/1996;96168;12;8014.0;A
5415;2236;26/09/1996;139464;36;3874.0;D
7136;10436;28/09/1996;54396;36;1511.0;C
7271;11186;02/10/1996;392460;60;6541.0;C
5375;2106;03/10/1996;101520;12;8460.0;A
5635;3230;04/10/1996;77184;36;2144.0;C
6817;9024;04/10/1996;70656;48;1472.0;C
5923;4585;10/10/1996;64656;48;1347.0;C
5329;1862;16/10/1996;396120;60;6602.0;C
6644;8039;20/10/1996;93600;24;3900.0;A
6354;6688;23/10/1996;22968;36;638.0;C
5082;501;24/10/1996;262980;60;4383.0;C
6585;7795;29/10/1996;372120;60;6202.0;C
6921;9422;29/10/1996;86184;12;7182.0;A
5366;2062;29/10/1996;86184;12;7182.0;A
5886;4447;31/10/1996;192744;36;5354.0;C
5741;3754;03/11/1996;68544;24;2856.0;A
4996;132;06/11/1996;88440;12;7370.0;A
6015;5001;09/11/1996;110112;24;4588.0;A
6309;6434;11/11/1996;110136;24;4589.0;A
6073;5263;12/11/1996;276300;60;4605.0;C
6006;4948;15/11/1996;359760;60;5996.0;C
5611;3115;15/11/1996;321180;60;5353.0;C
6944;9548;15/11/1996;46176;48;962.0;C
7101;10297;18/11/1996;421008;48;8771.0;C
6599;7859;19/11/1996;72120;12;6010.0;A
6940;9510;22/11/1996;228276;36;6341.0;C
5209;1250;25/11/1996;182640;48;3805.0;C
5388;2153;28/11/1996;61560;12;5130.0;A
6011;4981;28/11/1996;179328;48;3736.0;C
5591;3021;04/12/1996;155616;48;3242.0;C
7154;10520;05/12/1996;417600;60;6960.0;C
7130;10411;11/12/1996;123408;24;5142.0;A
6818;9030;12/12/1996;155616;48;3242.0;C
5625;3189;15/12/1996;222180;60;3703.0;D
6805;8972;21/12/1996;45024;48;938.0;C
7233;10963;25/12/1996;115812;36;3217.0;C
7308;11362;27/12/1996;129408;24;5392.0;A
5895;4473;03/01/1997;93960;60;1566.0;C
7122;10365;04/01/1997;260640;36;7240.0;D
6173;5724;08/01/1997;232560;48;4845.0;C
6142;5591;21/01/1997;221880;60;3698.0;C
5358;2018;21/01/1997;38520;12;3210.0;A
6095;5358;24/01/1997;68340;60;1139.0;C
6878;9242;24/01/1997;23184;12;1932.0;A
6554;7637;29/01/1997;390096;48;8127.0;C
6793;8931;30/01/1997;186300;60;3105.0;C
7286;11271;31/01/1997;67320;36;1870.0;C
6076;5269;02/02/1997;117420;60;1957.0;C
5134;825;02/02/1997;53076;12;4423.0;A
5419;2246;05/02/1997;415800;60;6930.0;C
6255;6158;08/02/1997;247920;48;5165.0;D
5656;3353;09/02/1997;146064;24;6086.0;C
6934;9494;09/02/1997;116832;12;9736.0;A
6028;5072;09/02/1997;317520;60;5292.0;C
6490;7262;10/02/1997;73260;60;1221.0;C
6415;6950;12/02/1997;475680;48;9910.0;C
7087;10215;20/02/1997;44304;24;1846.0;C
5420;2247;24/02/1997;72504;24;3021.0;C
5977;4803;25/02/1997;59136;48;1232.0;C
6824;9052;26/02/1997;71976;24;2999.0;D
5207;1244;28/02/1997;35904;48;748.0;C
7115;10351;04/03/1997;88704;48;1848.0;C
7250;11069;04/03/1997;119136;48;2482.0;C
6010;4969;06/03/1997;150180;60;2503.0;C
6088;5317;07/03/1997;90180;36;2505.0;C
5682;3455;07/03/1997;67464;12;5622.0;A
7201;10807;07/03/1997;67464;12;5622.0;A
6938;9504;10/03/1997;341280;60;5688.0;C
6875;9235;13/03/1997;83280;48;1735.0;C
5953;4715;14/03/1997;97176;24;4049.0;C
5942;4681;15/03/1997;162624;48;3388.0;C
5382;2134;17/03/1997;22932;36;637.0;C
6377;6792;17/03/1997;17184;12;1432.0;A
5931;4618;17/03/1997;66696;24;2779.0;D
5992;4863;18/03/1997;76080;12;6340.0;A
5790;4033;20/03/1997;84288;48;1756.0;C
6753;8688;20/03/1997;67980;12;5665.0;A
6562;7674;21/03/1997;94488;24;3937.0;C
7046;10049;28/03/1997;91632;12;7636.0;A
5868;4361;29/03/1997;90156;12;7513.0;A
5784;3967;29/03/1997;84600;36;2350.0;D
5878;4415;01/04/1997;74040;12;6170.0;A
5110;675;01/04/1997;102240;60;1704.0;C
5210;1252;01/04/1997;148140;36;4115.0;C
7230;10954;02/04/1997;18720;60;312.0;C
5005;176;10/04/1997;27456;12;2288.0;A
6871;9225;13/04/1997;164256;48;3422.0;C
5363;2051;22/04/1997;293880;60;4898.0;D
7253;11079;26/04/1997;98304;12;8192.0;A
6055;5181;28/04/1997;399120;60;6652.0;C
5072;472;28/04/1997;196800;24;8200.0;D
6913;9377;29/04/1997;99936;24;4164.0;C
6386;6856;30/04/1997;124344;36;3454.0;C
5634;3229;01/05/1997;39024;12;3252.0;A
5758;3859;02/05/1997;307200;60;5120.0;D
6819;9031;03/05/1997;50112;24;2088.0;C
7088;10233;03/05/1997;239160;60;3986.0;C
5039;314;03/05/1997;66840;24;2785.0;C
5532;2754;04/05/1997;335280;48;6985.0;C
6037;5118;04/05/1997;53232;48;1109.0;C
6322;6510;06/05/1997;76992;24;3208.0;C
6887;9263;08/05/1997;39576;12;3298.0;A
6660;8094;09/05/1997;220428;36;6123.0;C
5451;2350;11/05/1997;159744;48;3328.0;C
6014;4999;18/05/1997;165168;36;4588.0;C
5556;2872;19/05/1997;268320;60;4472.0;C
6346;6649;22/05/1997;100260;60;1671.0;C
5850;4293;22/05/1997;164196;36;4561.0;C
5940;4660;28/05/1997;106944;24;4456.0;C
7119;10361;02/06/1997;86880;12;7240.0;A
5253;1447;03/06/1997;100080;48;2085.0;C
6851;9138;03/06/1997;272220;60;4537.0;D
6695;8320;04/06/1997;309660;60;5161.0;C
6908;9353;08/06/1997;188616;24;7859.0;C
7255;11096;09/06/1997;213300;60;3555.0;C
5674;3418;10/06/1997;207264;48;4318.0;C
6278;6265;10/06/1997;87360;24;3640.0;C
5486;2516;13/06/1997;466608;48;9721.0;C
5174;1093;13/06/1997;385104;48;8023.0;C
6621;7957;14/06/1997;42900;12;3575.0;A
6313;6461;15/06/1997;150912;36;4192.0;C
6435;7045;16/06/1997;288720;48;6015.0;C
6970;9677;17/06/1997;31620;60;527.0;C
6310;6440;17/06/1997;34572;12;2881.0;A
5932;4626;18/06/1997;33348;12;2779.0;A
6877;9241;19/06/1997;285240;60;4754.0;C
6763;8772;19/06/1997;88272;48;1839.0;C
7085;10202;19/06/1997;305424;48;6363.0;C
7049;10063;24/06/1997;233424;36;6484.0;C
6959;9633;30/06/1997;59448;24;2477.0;D
5214;1270;01/07/1997;74772;36;2077.0;C
6350;6678;09/07/1997;294384;48;6133.0;C
5063;442;10/07/1997;357840;48;7455.0;D
5041;319;11/07/1997;369000;60;6150.0;C
5086;525;16/07/1997;210384;48;4383.0;C
6942;9513;16/07/1997;18324;12;1527.0;A
5270;1528;21/07/1997;191088;48;3981.0;C
6705;8381;25/07/1997;333648;48;6951.0;D
7051;10068;28/07/1997;77808;12;6484.0;A
6758;8742;29/07/1997;33144;12;2762.0;A
6249;6138;30/07/1997;67608;24;2817.0;C
5808;4099;31/07/1997;41856;48;872.0;C
5377;2116;04/08/1997;92400;12;7700.0;A
5446;2334;04/08/1997;48312;24;2013.0;C
5856;4320;09/08/1997;51360;12;4280.0;B
4986;97;10/08/1997;102876;12;8573.0;A
7001;9859;10/08/1997;300600;60;5010.0;C
6677;8169;12/08/1997;97980;60;1633.0;C
6665;8114;15/08/1997;99300;60;1655.0;C
5817;4127;15/08/1997;100800;24;4200.0;D
6984;9730;15/08/1997;116040;60;1934.0;C
6541;7565;17/08/1997;153504;48;3198.0;C
5117;718;20/08/1997;76944;12;6412.0;A
6097;5362;21/08/1997;202848;48;4226.0;C
5389;2165;22/08/1997;78600;24;3275.0;C
7219;10905;23/08/1997;57120;48;1190.0;C
6338;6592;24/08/1997;390660;60;6511.0;C
6922;9424;26/08/1997;83628;36;2323.0;C
5367;2064;26/08/1997;83628;36;2323.0;C
5638;3249;27/08/1997;68124;12;5677.0;A
5830;4190;28/08/1997;405780;60;6763.0;C
5338;1888;30/08/1997;57360;12;4780.0;B
6007;4949;30/08/1997;289920;48;6040.0;C
6612;7907;31/08/1997;97392;12;8116.0;A
5718;3637;01/09/1997;14028;12;1169.0;A
6104;5395;05/09/1997;158184;36;4394.0;C
5229;1329;06/09/1997;23520;12;1960.0;A
6625;7966;07/09/1997;473280;60;7888.0;D
5206;1242;07/09/1997;128544;24;5356.0;C
5963;4746;07/09/1997;204780;60;3413.0;C
4990;110;08/09/1997;162576;36;4516.0;C
6641;8026;09/09/1997;128268;36;3563.0;C
5369;2080;12/09/1997;214596;36;5961.0;C
6196;5837;14/09/1997;177804;36;4939.0;C
5236;1374;15/09/1997;389136;48;8107.0;C
5719;3664;20/09/1997;271584;48;5658.0;C
5643;3273;21/09/1997;94512;12;7876.0;B
7050;10065;23/09/1997;311232;48;6484.0;C
6355;6699;24/09/1997;127200;48;2650.0;C
6688;8268;26/09/1997;8616;24;359.0;C
6239;6083;28/09/1997;360864;48;7518.0;D
5531;2753;30/09/1997;66432;24;2768.0;C
6113;5445;01/10/1997;78696;36;2186.0;C
7181;10679;02/10/1997;197808;24;8242.0;C
6118;5477;04/10/1997;349392;48;7279.0;C
7264;11141;07/10/1997;44940;12;3745.0;A
5343;1906;08/10/1997;44952;24;1873.0;C
5051;378;11/10/1997;230400;60;3840.0;C
5779;3942;14/10/1997;107352;36;2982.0;C
6605;7890;14/10/1997;79344;48;1653.0;C
6655;8085;17/10/1997;260400;60;4340.0;D
6534;7542;19/10/1997;590820;60;9847.0;C
5681;3448;20/10/1997;68664;24;2861.0;C
6607;7894;21/10/1997;153144;36;4254.0;C
6242;6097;22/10/1997;26208;36;728.0;C
7242;11027;23/10/1997;48096;24;2004.0;C
7277;11231;24/10/1997;89280;12;7440.0;A
6675;8158;01/11/1997;238716;36;6631.0;C
5398;2187;04/11/1997;53472;12;4456.0;A
5956;4725;04/11/1997;168264;36;4674.0;C
5731;3711;05/11/1997;460980;60;7683.0;D
6956;9631;09/11/1997;59448;24;2477.0;C
6437;7052;09/11/1997;63972;36;1777.0;D
5447;2335;12/11/1997;541200;60;9020.0;D
5973;4784;24/11/1997;219456;48;4572.0;C
6075;5267;26/11/1997;129312;24;5388.0;D
5281;1580;27/11/1997;194256;24;8094.0;C
5103;666;28/11/1997;12540;12;1045.0;A
6468;7176;30/11/1997;203940;60;3399.0;C
7209;10857;30/11/1997;385560;60;6426.0;D
5584;2986;06/12/1997;24792;24;1033.0;C
4988;103;06/12/1997;265320;36;7370.0;D
6502;7424;08/12/1997;30276;12;2523.0;A
5651;3329;08/12/1997;19248;12;1604.0;A
4962;25;08/12/1997;30276;12;2523.0;A
5862;4342;09/12/1997;100128;24;4172.0;C
7199;10789;09/12/1997;45768;12;3814.0;A
6727;8505;10/12/1997;42840;12;3570.0;A
7279;11244;11/12/1997;155760;24;6490.0;C
6544;7594;11/12/1997;130464;48;2718.0;C
5933;4631;13/12/1997;87528;24;3647.0;C
6574;7745;20/12/1997;77544;36;2154.0;C
6399;6902;21/12/1997;49320;36;1370.0;C
7187;10711;24/12/1997;24180;60;403.0;C
6353;6686;25/12/1997;116496;24;4854.0;C
5043;339;25/12/1997;468060;60;7801.0;C
5469;2445;26/12/1997;293160;60;4886.0;C
5976;4794;27/12/1997;465504;48;9698.0;D
6059;5196;28/12/1997;79824;12;6652.0;A
5799;4052;28/12/1997;106128;36;2948.0;C
6147;5602;28/12/1997;177504;48;3698.0;C
6254;6157;28/12/1997;247920;48;5165.0;C
7100;10280;31/12/1997;348120;60;5802.0;C
7147;10478;02/01/1998;267600;48;5575.0;C
5909;4550;03/01/1998;61320;60;1022.0;C
7037;10022;03/01/1998;218064;48;4543.0;C
5782;3953;04/01/1998;63576;12;5298.0;C
6237;6075;06/01/1998;407952;48;8499.0;D
6552;7632;08/01/1998;170448;48;3551.0;C
7067;10134;11/01/1998;136368;24;5682.0;C
5320;1819;11/01/1998;143676;36;3991.0;C
5930;4616;12/01/1998;66696;24;2779.0;C
6486;7240;15/01/1998;152160;60;2536.0;C
5245;1407;17/01/1998;125472;24;5228.0;C
6643;8038;18/01/1998;35856;24;1494.0;C
5260;1480;19/01/1998;123300;36;3425.0;C
5569;2936;20/01/1998;504000;60;8400.0;C
7110;10345;21/01/1998;31260;12;2605.0;C
7139;10445;22/01/1998;23412;12;1951.0;C
6791;8926;23/01/1998;566640;60;9444.0;C
5360;2035;25/01/1998;176328;36;4898.0;C
5287;1638;26/01/1998;64224;24;2676.0;C
6553;7636;26/01/1998;42384;12;3532.0;C
7072;10148;27/01/1998;22104;12;1842.0;C
6044;5133;27/01/1998;57060;12;4755.0;C
5332;1869;29/01/1998;37944;36;1054.0;C
6866;9201;05/02/1998;122472;24;5103.0;C
6633;7997;05/02/1998;160656;24;6694.0;C
6926;9455;07/02/1998;374760;60;6246.0;C
6442;7082;08/02/1998;194160;48;4045.0;C
5889;4456;09/02/1998;321240;60;5354.0;C
5765;3875;10/02/1998;153936;24;6414.0;C
5124;785;12/02/1998;156096;36;4336.0;C
5491;2545;13/02/1998;428784;48;8933.0;C
6730;8523;15/02/1998;93036;12;7753.0;C
7151;10493;18/02/1998;133800;24;5575.0;C
5140;873;24/02/1998;178500;60;2975.0;C
7171;10650;24/02/1998;196224;48;4088.0;C
